id,display_id,name,parent_name,description,parent_id
178,,5.13,Developing the comprehensive care plan,"Clinicians use processes for shared decision making to develop and document a comprehensive and individualised plan that:
a. Addresses the significance and complexity of the patient’s health issues and risks of harm
b. Identifies agreed goals and actions for the patient’s treatment and care
c. Identifies the support people a patient wants involved in communications and decision-making about their care
d. Commences discharge planning at the beginning of the episode of care
e. Includes a plan for referral to follow-up services, if appropriate and available
f. Is consistent with best practice and evidence",167
179,,Delivering comprehensive care,Comprehensive care,,7
180,,Using the comprehensive care plan,Delivering comprehensive care,,179
181,,5.14,Using the comprehensive care plan,"The workforce, patients, carers and families work in partnership to:
a. Use the comprehensive care plan to deliver care
b. Monitor the effectiveness of the comprehensive care plan in meeting the goals of care
c. Review and update the comprehensive care plan if it is not effective
d. Reassess the patient’s needs if changes in diagnosis, behaviour, cognition, or mental or physical condition occur",180
182,,Comprehensive care at the end of life,Delivering comprehensive care,,179
183,,5.15,Comprehensive care at the end of life,The health service organisation has processes to identify patients who are at the end of life that are consistent with the National Consensus Statement: Essential elements for safe and high-quality end-of-life care,182
184,,5.16,Comprehensive care at the end of life,The health service organisation providing end-of-life care has processes to provide clinicians with access to specialist palliative care advice,182
185,,5.17,Comprehensive care at the end of life,"The health service organisation has processes to ensure that current advance care plans:
a. Can be received from patients
b. Are documented in the patient’s healthcare record",182
186,,5.18,Comprehensive care at the end of life,The health service organisation provides access to supervision and support for the workforce providing end-of-life care,182
187,,5.19,Comprehensive care at the end of life,The health service organisation has processes for routinely reviewing the safety and quality of end-of-life care that is provided against the planned goals of care,182
188,,5.2,Comprehensive care at the end of life,"Clinicians support patients, carers and families to make shared decisions about end-of-life care in accordance with the National Consensus Statement: Essential elements for safe and high-quality end-of-life care",182
189,,Minimising patient harm,Comprehensive care,,7
190,,Preventing and managing pressure injuries,Minimising patient harm,,189
191,,5.21,Preventing and managing pressure injuries,The health service organisation providing services to patients at risk of pressure injuries has systems for pressure injury prevention and wound management that are consistent with best-practice guidelines,190
192,,5.22,Preventing and managing pressure injuries,"Clinicians providing care to patients at risk of developing, or with, a pressure injury conduct comprehensive skin inspections in accordance with best-practice time frames and frequency",190
193,,5.23,Preventing and managing pressure injuries,"The health service organisation providing services to patients at risk of pressure injuries ensures that:
a. Patients, carers and families are provided with information about preventing pressure injuries
b. Equipment, devices and products are used in line with best-practice guidelines to prevent and effectively manage pressure injuries",190
194,,Preventing falls and harm from falls,Minimising patient harm,,189
195,,5.24,Preventing falls and harm from falls,"The health service organisation providing services to patients at risk of falls has systems that are consistent with best-practice guidelines for:
a. Falls prevention
b. Minimising harm from falls
c. Post-fall management",194
196,,5.25,Preventing falls and harm from falls,"The health service organisation providing services to patients at risk of falls ensures that equipment, devices and tools are available to promote safe mobility and manage the risks of falls",194
197,,5.26,Preventing falls and harm from falls,"Clinicians providing care to patients at risk of falls provide patients, carers and families with information about reducing falls risks and falls prevention strategies",194
198,,Nutrition and hydration,Minimising patient harm,,189
199,,5.27,Nutrition and hydration,The health service organisation that admits patients overnight has systems for the preparation and distribution of food and fluids that include nutrition care plans based on current evidence and best practice,198
200,,5.28,Nutrition and hydration,"The workforce uses the systems for preparation and distribution of food and fluids to:
a. Meet patients’ nutritional needs and requirements
b. Monitor the nutritional care of patients at risk
c. Identify, and provide access to, nutritional support for patients who cannot meet their nutritional requirements with food alone
d. Support patients who require assistance with eating and drinking",198
201,,Preventing delirium and managing cognitive impairment,Minimising patient harm,,189
202,,5.29,Preventing delirium and managing cognitive impairment,"The health service organisation providing services to patients who have cognitive impairment or are at risk of developing delirium has a system for caring for patients with cognitive impairment to:
a. Incorporate best-practice strategies for early recognition, prevention, treatment and management of cognitive impairment in the care plan, including the Delirium Clinical Care Standard, where relevant
b. Manage the use of antipsychotics and other psychoactive medicines, in accordance with best practice and legislation",201
203,,5.3,Preventing delirium and managing cognitive impairment,"Clinicians providing care to patients who have cognitive impairment or are at risk of developing delirium use the system for caring for patients with cognitive impairment to:
a. Recognise, prevent, treat and manage cognitive impairment
b. Collaborate with patients, carers and families to understand the patient and implement individualised strategies that minimise any anxiety or distress while they are receiving care",201
204,,"Predicting, preventing and managing self-harm and suicide",Minimising patient harm,,189
205,,5.31,"Predicting, preventing and managing self-harm and suicide","The health service organisation has systems to support collaboration with patients, carers and families to:
a. Identify when a patient is at risk of self-harm
b. Identify when a patient is at risk of suicide
c. Safely and effectively respond to patients who are distressed, have thoughts of self-harm or suicide, or have self-harmed",204
206,,5.32,"Predicting, preventing and managing self-harm and suicide","The health service organisation ensures that follow-up arrangements are developed, communicated and implemented for people who have harmed themselves or reported suicidal thoughts",204
207,,"Predicting, preventing and managing aggression and violence",Minimising patient harm,,189
208,,5.33,"Predicting, preventing and managing aggression and violence",The health service organisation has processes to identify and mitigate situations that may precipitate aggression,207
209,,5.34,"Predicting, preventing and managing aggression and violence","The health service organisation has processes to support collaboration with patients, carers and families to:
a. Identify patients at risk of becoming aggressive or violent
b. Implement de-escalation strategies
c. Safely manage aggression, and minimise harm to patients, carers, families and the workforce",207
210,,Minimising restrictive practices: restraint,Minimising patient harm,,189
211,,5.35,Minimising restrictive practices: restraint,"Where restraint is clinically necessary to prevent harm, the health service organisation has systems that:
a. Minimise and, where possible, eliminate the use of restraint
b. Govern the use of restraint in accordance with legislation
c. Report use of restraint to the governing body",210
212,,Minimising restrictive practices: seclusion,Minimising patient harm,,189
213,,5.36,Minimising restrictive practices: seclusion,"Where seclusion is clinically necessary to prevent harm and is permitted under legislation, the health service organisation has systems that:
a. Minimise and, where possible, eliminate the use of seclusion
b. Govern the use of seclusion in accordance with legislation
c. Report use of seclusion to the governing body",212
214,,Clinical governance and quality improvement to support effective communication,Communicating for safety,,8
215,,Integrating clinical governance ,Clinical governance and quality improvement to support effective communication,,214
216,,6.1,Integrating clinical governance ,"Clinicians use the safety and quality systems from the Clinical Governance Standard when:
a. Implementing policies and procedures to support effective clinical communication
b. Managing risks associated with clinical communication
c. Identifying training requirements for effective and coordinated clinical communication",89
217,,Applying quality improvement systems,Clinical governance and quality improvement to support effective communication,,214
218,,6.2,Applying quality improvement systems,"The health service organisation applies the quality improvement system from the Clinical Governance Standard when:
a. Monitoring the effectiveness of clinical communication and associated processes
b. Implementing strategies to improve clinical communication and associated processes
c. Reporting on the effectiveness and outcomes of clinical communication processes",67
219,,Partnering with consumers,Clinical governance and quality improvement to support effective communication,,214
220,,6.3,Partnering with consumers,"Clinicians use organisational processes from the Partnering with Consumers Standard to effectively communicate with patients, carers and families during high-risk situations to:
a. Actively involve patients in their own care
b. Meet the patient’s information needs
c. Share decision-making",9
221,,Organisational processes to support effective communication,Clinical governance and quality improvement to support effective communication,,214
222,,6.4,Organisational processes to support effective communication,"The health service organisation has clinical communications processes to support effective communication when:
a. Identification and procedure matching should occur
b. All or part of a patient’s care is transferred within the organisation, between multidisciplinary teams, between clinicians or between organisations; and on discharge
c. Critical information about a patient’s care, including information on risks, emerges or changes",221
223,,Correct identification and procedure matching,Communicating for safety,,8
224,,Correct identification and procedure matching,Correct identification and procedure matching,,223
225,,6.5,Correct identification and procedure matching,"The health service organisation:
a. Defines approved identifiers for patients according to best-practice guidelines
b. Requires at least three approved identifiers on registration and admission; when care, medication, therapy and other services are provided; and when clinical handover, transfer or discharge documentation is generated",223
226,,6.6,Correct identification and procedure matching,"The health service organisation specifies the:
a. Processes to correctly match patients to their care
b. Information that should be documented about the process of correctly matching patients to their intended care",223
227,,Communication at clinical handover,Communicating for safety,,8
228,,Clinical handover,Communication at clinical handover,,227
229,,6.7,Clinical handover,"The health service organisation, in collaboration with clinicians, defines the:
a. Minimum information content to be communicated at clinical handover, based on best-practice guidelines
b. Risks relevant to the service context and the particular needs of patients, carers and families
c. Clinicians who are involved in the clinical handover",228
230,,6.8,Clinical handover,"Clinicians use structured clinical handover processes that include:
a. Preparing and scheduling clinical handover
b. Having the relevant information at clinical handover
c. Organising relevant clinicians and others to participate in clinical handover
d. Being aware of the patient’s goals and preferences
e. Supporting patients, carers and families to be involved in clinical handover, in accordance with the wishes of the patient
f. Ensuring that clinical handover results in the transfer of responsibility and accountability for care",228
231,,Communication of critical information,Communicating for safety,,8
232,,Communicating critical information,Communication of critical information,,231
233,,6.9,Communicating critical information,"Clinicians and multidisciplinary teams use clinical communication processes to effectively communicate critical information, alerts and risks, in a timely way, when they emerge or change to:
a. Clinicians who can make decisions about care
b. Patients, carers and families, in accordance with the wishes of the patient",232
234,,6.1,Communicating critical information,"The health service organisation ensures that there are communication processes for patients, carers and families to directly communicate critical information and risks about care to clinicians",232
235,,Documentation of information,Communicating for safety,,8
236,,Documentation of information,Documentation of information,,235
237,,6.11,Documentation of information,"The health service organisation has processes to contemporaneously document information in the healthcare record, including:
a. Critical information, alerts and risks
b. Reassessment processes and outcomes
c. Changes to the care plan",235
238,,Clinical governance and quality improvement to support blood management,Blood management,,3
239,,Integrating clinical governance ,Clinical governance and quality improvement to support blood management,,238
240,,7.1,Integrating clinical governance ,"Clinicians use the safety and quality systems from the Clinical Governance Standard when:
a. Implementing policies and procedures for blood management
b. Managing risks associated with blood management
c. Identifying training requirements for blood management",89
241,,Applying quality improvement systems,Clinical governance and quality improvement to support blood management,,238
242,,7.2,Applying quality improvement systems,"The health service organisation applies the quality improvement system from the Clinical Governance Standard when:
a. Monitoring the performance of the blood management system
b. Implementing strategies to improve blood management and associated processes
c. Reporting on the outcomes of blood management",67
243,,Partnering with consumers,Clinical governance and quality improvement to support blood management,,238
244,,7.3,Partnering with consumers,"Clinicians use organisational processes from the Partnering with Consumers Standard when providing safe blood management to:
a. Actively involve patients in their own care
b. Meet the patient’s information needs
c. Share decision-making",9
245,,Prescribing and clinical use of blood and blood products,Blood management,,3
246,,Optimising and conserving patients’ own blood,Prescribing and clinical use of blood and blood products,,245
247,,7.4,Optimising and conserving patients’ own blood,"Clinicians use the blood and blood products processes to manage the need for, and minimise the inappropriate use of, blood and blood products by:
a. Optimising patients’ own red cell mass, haemoglobin and iron stores
b. Identifying and managing patients with, or at risk of, bleeding
c. Determining the clinical need for blood and blood products, and related risks",246
248,,Documenting,Prescribing and clinical use of blood and blood products,,245
249,,7.5,Documenting,"Clinicians document decisions relating to blood management, transfusion history and transfusion details in the healthcare record",248
250,,Prescribing and administering blood and blood products,Prescribing and clinical use of blood and blood products,,245
251,,7.6,Prescribing and administering blood and blood products,"The health service organisation supports clinicians to prescribe and administer blood and blood products appropriately, in accordance with national guidelines and national criteria",250
252,,Reporting adverse events,Prescribing and clinical use of blood and blood products,,245
253,,7.7,Reporting adverse events,"The health service organisation uses processes for reporting transfusionrelated adverse events, in accordance with national guidelines and criteria",252
254,,7.8,Reporting adverse events,"The health service organisation participates in haemovigilance activities, in accordance with the national framework",252
255,,Managing the availability and safety of blood and blood products,Blood management,,3
256,,"Storing, distributing and tracing blood and blood products",Managing the availability and safety of blood and blood products,,255
257,,7.9,"Storing, distributing and tracing blood and blood products","The health service organisation has processes:
a. That comply with manufacturers’ directions, legislation, and relevant jurisdictional requirements to store, distribute and handle blood and blood products safely and securely
b. To trace blood and blood products from entry into the organisation to transfusion, discard or transfer",256
258,,Availability of blood,Managing the availability and safety of blood and blood products,,255
259,,7.1,Availability of blood,"The health service organisation has processes to:
a. Manage the availability of blood and blood products to meet clinical need
b. Eliminate avoidable wastage
c. Respond in times of shortage",258
260,,Clinical governance and quality improvement to support recognition and response systems,Recognising and responding to acute deterioration,,6
261,,Integrating clinical governance,Clinical governance and quality improvement to support recognition and response systems,,260
262,,8.1,Integrating clinical governance,"Clinicians use the safety and quality systems from the Clinical Governance Standard when:
a. Implementing policies and procedures for recognising and responding to acute deterioration
b. Managing risks associated with recognising and responding to acute deterioration
c. Identifying training requirements for recognising and responding to acute deterioration",65
263,,Applying quality improvement systems,Clinical governance and quality improvement to support recognition and response systems,,260
264,,8.2,Applying quality improvement systems,"The health service organisation applies the quality improvement system from the Clinical Governance Standard when:
a. Monitoring recognition and response systems
b. Implementing strategies to improve recognition and response systems
c. Reporting on effectiveness and outcomes of recognition and response systems",67
265,,Partnering with consumers,Clinical governance and quality improvement to support recognition and response systems,,260
266,,8.3,Partnering with consumers,"Clinicians use organisational processes from the Partnering with Consumers Standard when recognising and responding to acute deterioration to:
a. Actively involve patients in their own care
b. Meet the patient’s information needs
c. Share decision-making",9
267,,"Detecting and recognising acute deterioration, and escalating care",Recognising and responding to acute deterioration,,6
268,,Recognising acute deterioration,"Detecting and recognising acute deterioration, and escalating care",,267
269,,8.4,Recognising acute deterioration,"The health service organisation has processes for clinicians to detect acute physiological deterioration that require clinicians to:
a. Document individualised vital sign monitoring plans
b. Monitor patients as required by their individualised monitoring plan
c. Graphically document and track changes in agreed observations to detect acute deterioration over time, as appropriate for the patient",268
270,,8.5,Recognising acute deterioration,"The health service organisation has processes for clinicians to recognise acute deterioration in mental state that require clinicians to:
a. Monitor patients at risk of acute deterioration in mental state, including
patients at risk of developing delirium
b. Include the person’s known early warning signs of deterioration in mental state in their individualised monitoring plan
c. Assess possible causes of acute deterioration in mental state, including delirium, when changes in behaviour, cognitive function, perception, physical function or emotional state are observed or reported
d. Determine the required level of observation
e. Document and communicate observed or reported changes in mental state",268
271,,Escalating care,"Detecting and recognising acute deterioration, and escalating care",,267
272,,8.6,Escalating care,"The health service organisation has protocols that specify criteria for escalating care, including:
a. Agreed vital sign parameters and other indicators of physiological deterioration
b. Agreed indicators of deterioration in mental state
c. Agreed parameters and other indicators for calling emergency assistance
d. Patient pain or distress that is not able to be managed using available treatment
e. Worry or concern in members of the workforce, patients, carers and families about acute deterioration",271
273,,8.7,Escalating care,"The health service organisation has processes for patients, carers or families to directly escalate care",271
274,,8.8,Escalating care,The health service organisation provides the workforce with mechanisms to escalate care and call for emergency assistance,271
275,,8.9,Escalating care,The workforce uses the recognition and response systems to escalate care,271
276,,Responding to acute deterioration,Recognising and responding to acute deterioration,,6
277,,Responding to deterioration,Responding to acute deterioration,,276
278,,8.1,Responding to deterioration,The health service organisation has processes that support timely response by clinicians with the skills required to manage episodes of acute deterioration,277
279,,8.11,Responding to deterioration,"The health service organisation has processes to ensure rapid access at all times to at least one clinician, either on site or in close proximity, who can deliver advanced life support",277
280,,8.12,Responding to deterioration,The health service organisation has processes to ensure rapid referral to mental health services to meet the needs of patients whose mental state has acutely deteriorated,277
281,,8.13,Responding to deterioration,The health service organisation has processes for rapid referral to services that can provide definitive management of acute physical deterioration,277
